day,label,size,width,height,filename,filename_gfp,filename_ph,x1,y1,x2,y2,ori_x1,ori_y1,ori_x2,ori_y2,clip_x1,clip_y1,clip_x2,clip_y2,batch,bbox_idx,image_id
6,meroclone1,1344,81,80,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,793,1193,874,1273,2150,2734,2231,2814,1357,1541,2701,2885,2,0,0
6,meroclone2,1344,117,119,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,85,1198,202,1317,1442,2739,1559,2858,1357,1541,2701,2885,2,1,0
6,paraclone13,1344,49,49,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,1089,200,1138,249,2446,1741,2495,1790,1357,1541,2701,2885,2,2,0
6,paraclone14,1344,45,61,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,935,9,980,70,2292,1550,2337,1611,1357,1541,2701,2885,2,3,0
6,meroclone1,1344,81,80,1635559976_213709.png,1635559976_213709_gfp.png,1635559976_213709_ph.png,1204,1234,1285,1314,2150,2734,2231,2814,946,1500,2290,2844,2,4,1
6,paraclone12,1344,73,71,1635559976_213709.png,1635559976_213709_gfp.png,1635559976_213709_ph.png,330,165,403,236,1276,1665,1349,1736,946,1500,2290,2844,2,5,1
6,meroclone1,1344,81,80,1635559977_432299.png,1635559977_432299_gfp.png,1635559977_432299_ph.png,293,555,374,635,2150,2734,2231,2814,1857,2179,3201,3523,2,6,2
6,meroclone1,1344,81,80,1635559978_753215.png,1635559978_753215_gfp.png,1635559978_753215_ph.png,410,242,491,322,2150,2734,2231,2814,1740,2492,3084,3836,2,7,3
6,meroclone1,1344,81,80,1635559979_954061.png,1635559979_954061_gfp.png,1635559979_954061_ph.png,371,1123,452,1203,2150,2734,2231,2814,1779,1611,3123,2955,2,8,4
6,paraclone13,1344,49,49,1635559979_954061.png,1635559979_954061_gfp.png,1635559979_954061_ph.png,667,130,716,179,2446,1741,2495,1790,1779,1611,3123,2955,2,9,4
6,meroclone1,1344,81,80,1635559981_232702.png,1635559981_232702_gfp.png,1635559981_232702_ph.png,683,420,764,500,2150,2734,2231,2814,1467,2314,2811,3658,2,10,5
6,meroclone1,1344,81,80,1635559982_627949.png,1635559982_627949_gfp.png,1635559982_627949_ph.png,1180,278,1261,358,2150,2734,2231,2814,970,2456,2314,3800,2,11,6
6,meroclone2,1344,117,119,1635559982_627949.png,1635559982_627949_gfp.png,1635559982_627949_ph.png,472,283,589,402,1442,2739,1559,2858,970,2456,2314,3800,2,12,6
6,paraclone26,1344,61,69,1635559982_627949.png,1635559982_627949_gfp.png,1635559982_627949_ph.png,290,1131,351,1200,1260,3587,1321,3656,970,2456,2314,3800,2,13,6
6,meroclone1,1344,81,80,1635559983_830249.png,1635559983_830249_gfp.png,1635559983_830249_ph.png,58,569,139,649,2150,2734,2231,2814,2092,2165,3436,3509,2,14,7
6,meroclone1,1344,81,80,1635559985_064297.png,1635559985_064297_gfp.png,1635559985_064297_ph.png,235,310,316,390,2150,2734,2231,2814,1915,2424,3259,3768,2,15,8
6,meroclone1,1344,81,80,1635559986_261156.png,1635559986_261156_gfp.png,1635559986_261156_ph.png,91,671,172,751,2150,2734,2231,2814,2059,2063,3403,3407,2,16,9
6,meroclone1,1344,81,80,1635559987_452161.png,1635559987_452161_gfp.png,1635559987_452161_ph.png,771,1108,852,1188,2150,2734,2231,2814,1379,1626,2723,2970,2,17,10
6,meroclone2,1344,117,119,1635559987_452161.png,1635559987_452161_gfp.png,1635559987_452161_ph.png,63,1113,180,1232,1442,2739,1559,2858,1379,1626,2723,2970,2,18,10
6,paraclone13,1344,49,49,1635559987_452161.png,1635559987_452161_gfp.png,1635559987_452161_ph.png,1067,115,1116,164,2446,1741,2495,1790,1379,1626,2723,2970,2,19,10
6,meroclone2,1344,117,119,1635559988_636472.png,1635559988_636472_gfp.png,1635559988_636472_ph.png,557,16,674,135,1442,2739,1559,2858,885,2723,2229,4067,2,20,11
6,paraclone26,1344,61,69,1635559988_636472.png,1635559988_636472_gfp.png,1635559988_636472_ph.png,375,864,436,933,1260,3587,1321,3656,885,2723,2229,4067,2,21,11
6,meroclone1,1344,81,80,1635559989_8448691.png,1635559989_8448691_gfp.png,1635559989_8448691_ph.png,961,963,1042,1043,2150,2734,2231,2814,1189,1771,2533,3115,2,22,12
6,meroclone2,1344,117,119,1635559989_8448691.png,1635559989_8448691_gfp.png,1635559989_8448691_ph.png,253,968,370,1087,1442,2739,1559,2858,1189,1771,2533,3115,2,23,12
6,meroclone2,1344,117,119,1635559991_02608.png,1635559991_02608_gfp.png,1635559991_02608_ph.png,927,308,1044,427,1442,2739,1559,2858,515,2431,1859,3775,2,24,13
6,paraclone26,1344,61,69,1635559991_02608.png,1635559991_02608_gfp.png,1635559991_02608_ph.png,745,1156,806,1225,1260,3587,1321,3656,515,2431,1859,3775,2,25,13
6,meroclone1,1344,81,80,1635559992_2134469.png,1635559992_2134469_gfp.png,1635559992_2134469_ph.png,826,295,907,375,2150,2734,2231,2814,1324,2439,2668,3783,2,26,14
6,meroclone2,1344,117,119,1635559992_2134469.png,1635559992_2134469_gfp.png,1635559992_2134469_ph.png,118,300,235,419,1442,2739,1559,2858,1324,2439,2668,3783,2,27,14
6,meroclone2,1344,117,119,1635559993_410717.png,1635559993_410717_gfp.png,1635559993_410717_ph.png,915,602,1032,721,1442,2739,1559,2858,527,2137,1871,3481,2,28,15
6,meroclone2,1344,117,119,1635559994_599421.png,1635559994_599421_gfp.png,1635559994_599421_ph.png,897,42,1014,161,1442,2739,1559,2858,545,2697,1889,4041,2,29,16
6,paraclone26,1344,61,69,1635559994_599421.png,1635559994_599421_gfp.png,1635559994_599421_ph.png,715,890,776,959,1260,3587,1321,3656,545,2697,1889,4041,2,30,16
6,meroclone2,1344,117,119,1635559995_78876.png,1635559995_78876_gfp.png,1635559995_78876_ph.png,941,930,1058,1049,1442,2739,1559,2858,501,1809,1845,3153,2,31,17
6,meroclone2,1344,117,119,1635559996_9682932.png,1635559996_9682932_gfp.png,1635559996_9682932_ph.png,1207,3,1324,122,1442,2739,1559,2858,235,2736,1579,4080,2,32,18
6,paraclone26,1344,61,69,1635559996_9682932.png,1635559996_9682932_gfp.png,1635559996_9682932_ph.png,1025,851,1086,920,1260,3587,1321,3656,235,2736,1579,4080,2,33,18
6,meroclone2,1344,117,119,1635559998_155803.png,1635559998_155803_gfp.png,1635559998_155803_ph.png,798,626,915,745,1442,2739,1559,2858,644,2113,1988,3457,2,34,19
6,paraclone1,1344,90,87,1635559999_377383.png,1635559999_377383_gfp.png,1635559999_377383_ph.png,837,868,927,955,2781,4604,2871,4691,1944,3736,3288,5080,2,35,20
6,paraclone1,1344,90,87,1635560000_7087.png,1635560000_7087_gfp.png,1635560000_7087_ph.png,598,15,688,102,2781,4604,2871,4691,2183,4589,3527,5933,2,36,21
6,paraclone6,1344,33,45,1635560000_7087.png,1635560000_7087_gfp.png,1635560000_7087_ph.png,648,530,681,575,2831,5119,2864,5164,2183,4589,3527,5933,2,37,21
6,paraclone7,1344,69,84,1635560000_7087.png,1635560000_7087_gfp.png,1635560000_7087_ph.png,838,912,907,996,3021,5501,3090,5585,2183,4589,3527,5933,2,38,21
6,paraclone1,1344,90,87,1635560001_916182.png,1635560001_916182_gfp.png,1635560001_916182_ph.png,1050,450,1140,537,2781,4604,2871,4691,1731,4154,3075,5498,2,39,22
6,paraclone6,1344,33,45,1635560001_916182.png,1635560001_916182_gfp.png,1635560001_916182_ph.png,1100,965,1133,1010,2831,5119,2864,5164,1731,4154,3075,5498,2,40,22
6,paraclone1,1344,90,87,1635560003_324172.png,1635560003_324172_gfp.png,1635560003_324172_ph.png,886,377,976,464,2781,4604,2871,4691,1895,4227,3239,5571,2,41,23
6,paraclone6,1344,33,45,1635560003_324172.png,1635560003_324172_gfp.png,1635560003_324172_ph.png,936,892,969,937,2831,5119,2864,5164,1895,4227,3239,5571,2,42,23
6,paraclone1,1344,90,87,1635560004_74245.png,1635560004_74245_gfp.png,1635560004_74245_ph.png,664,893,754,980,2781,4604,2871,4691,2117,3711,3461,5055,2,43,24
6,paraclone1,1344,90,87,1635560006_247621.png,1635560006_247621_gfp.png,1635560006_247621_ph.png,520,244,610,331,2781,4604,2871,4691,2261,4360,3605,5704,2,44,25
6,paraclone6,1344,33,45,1635560006_247621.png,1635560006_247621_gfp.png,1635560006_247621_ph.png,570,759,603,804,2831,5119,2864,5164,2261,4360,3605,5704,2,45,25
6,paraclone7,1344,69,84,1635560006_247621.png,1635560006_247621_gfp.png,1635560006_247621_ph.png,760,1141,829,1225,3021,5501,3090,5585,2261,4360,3605,5704,2,46,25
6,paraclone1,1344,90,87,1635560007_633503.png,1635560007_633503_gfp.png,1635560007_633503_ph.png,1148,659,1238,746,2781,4604,2871,4691,1633,3945,2977,5289,2,47,26
6,paraclone6,1344,33,45,1635560007_633503.png,1635560007_633503_gfp.png,1635560007_633503_ph.png,1198,1174,1231,1219,2831,5119,2864,5164,1633,3945,2977,5289,2,48,26
6,paraclone1,1344,90,87,1635560008_969557.png,1635560008_969557_gfp.png,1635560008_969557_ph.png,1016,1196,1106,1283,2781,4604,2871,4691,1765,3408,3109,4752,2,49,27
6,paraclone1,1344,90,87,1635560010_452343.png,1635560010_452343_gfp.png,1635560010_452343_ph.png,1079,171,1169,258,2781,4604,2871,4691,1702,4433,3046,5777,2,50,28
6,paraclone6,1344,33,45,1635560010_452343.png,1635560010_452343_gfp.png,1635560010_452343_ph.png,1129,686,1162,731,2831,5119,2864,5164,1702,4433,3046,5777,2,51,28
6,paraclone1,1344,90,87,1635560011_8109472.png,1635560011_8109472_gfp.png,1635560011_8109472_ph.png,855,255,945,342,2781,4604,2871,4691,1926,4349,3270,5693,2,52,29
6,paraclone6,1344,33,45,1635560011_8109472.png,1635560011_8109472_gfp.png,1635560011_8109472_ph.png,905,770,938,815,2831,5119,2864,5164,1926,4349,3270,5693,2,53,29
6,paraclone7,1344,69,84,1635560011_8109472.png,1635560011_8109472_gfp.png,1635560011_8109472_ph.png,1095,1152,1164,1236,3021,5501,3090,5585,1926,4349,3270,5693,2,54,29
6,paraclone2,1344,28,31,1635560013_0304399.png,1635560013_0304399_gfp.png,1635560013_0304399_ph.png,1021,731,1049,762,4042,4138,4070,4169,3021,3407,4365,4751,2,55,30
6,paraclone9,1344,144,115,1635560013_0304399.png,1635560013_0304399_gfp.png,1635560013_0304399_ph.png,963,50,1107,165,3984,3457,4128,3572,3021,3407,4365,4751,2,56,30
6,paraclone2,1344,28,31,1635560014_4124422.png,1635560014_4124422_gfp.png,1635560014_4124422_ph.png,523,1272,551,1303,4042,4138,4070,4169,3519,2866,4863,4210,2,57,31
6,holoclone6,1344,251,236,1635560014_4124422.png,1635560014_4124422_gfp.png,1635560014_4124422_ph.png,850,167,1101,403,4369,3033,4620,3269,3519,2866,4863,4210,2,58,31
6,paraclone9,1344,144,115,1635560014_4124422.png,1635560014_4124422_gfp.png,1635560014_4124422_ph.png,465,591,609,706,3984,3457,4128,3572,3519,2866,4863,4210,2,59,31
6,paraclone2,1344,28,31,1635560015_618293.png,1635560015_618293_gfp.png,1635560015_618293_ph.png,474,778,502,809,4042,4138,4070,4169,3568,3360,4912,4704,2,60,32
6,paraclone9,1344,144,115,1635560015_618293.png,1635560015_618293_gfp.png,1635560015_618293_ph.png,416,97,560,212,3984,3457,4128,3572,3568,3360,4912,4704,2,61,32
6,paraclone2,1344,28,31,1635560016_815079.png,1635560016_815079_gfp.png,1635560016_815079_ph.png,97,1205,125,1236,4042,4138,4070,4169,3945,2933,5289,4277,2,62,33
6,holoclone6,1344,251,236,1635560016_815079.png,1635560016_815079_gfp.png,1635560016_815079_ph.png,424,100,675,336,4369,3033,4620,3269,3945,2933,5289,4277,2,63,33
6,paraclone9,1344,144,115,1635560016_815079.png,1635560016_815079_gfp.png,1635560016_815079_ph.png,39,524,183,639,3984,3457,4128,3572,3945,2933,5289,4277,2,64,33
6,paraclone2,1344,28,31,1635560018_0130508.png,1635560018_0130508_gfp.png,1635560018_0130508_ph.png,962,612,990,643,4042,4138,4070,4169,3080,3526,4424,4870,2,65,34
6,paraclone2,1344,28,31,1635560019_211981.png,1635560019_211981_gfp.png,1635560019_211981_ph.png,177,997,205,1028,4042,4138,4070,4169,3865,3141,5209,4485,2,66,35
6,paraclone9,1344,144,115,1635560019_211981.png,1635560019_211981_gfp.png,1635560019_211981_ph.png,119,316,263,431,3984,3457,4128,3572,3865,3141,5209,4485,2,67,35
6,paraclone2,1344,28,31,1635560020_421494.png,1635560020_421494_gfp.png,1635560020_421494_ph.png,1013,89,1041,120,4042,4138,4070,4169,3029,4049,4373,5393,2,68,36
6,paraclone2,1344,28,31,1635560021_641428.png,1635560021_641428_gfp.png,1635560021_641428_ph.png,539,568,567,599,4042,4138,4070,4169,3503,3570,4847,4914,2,69,37
6,paraclone2,1344,28,31,1635560022_841943.png,1635560022_841943_gfp.png,1635560022_841943_ph.png,816,540,844,571,4042,4138,4070,4169,3226,3598,4570,4942,2,70,38
6,paraclone2,1344,28,31,1635560024_0493739.png,1635560024_0493739_gfp.png,1635560024_0493739_ph.png,355,621,383,652,4042,4138,4070,4169,3687,3517,5031,4861,2,71,39
6,meroclone3,1344,91,79,1635560025_248584.png,1635560025_248584_gfp.png,1635560025_248584_ph.png,84,551,175,630,679,6104,770,6183,595,5553,1939,6897,2,72,40
6,paraclone3,1344,53,58,1635560025_248584.png,1635560025_248584_gfp.png,1635560025_248584_ph.png,1091,900,1144,958,1686,6453,1739,6511,595,5553,1939,6897,2,73,40
6,meroclone3,1344,91,79,1635560026_48987.png,1635560026_48987_gfp.png,1635560026_48987_ph.png,473,439,564,518,679,6104,770,6183,206,5665,1550,7009,2,74,41
6,meroclone3,1344,91,79,1635560027_677433.png,1635560027_677433_gfp.png,1635560027_677433_ph.png,263,791,354,870,679,6104,770,6183,416,5313,1760,6657,2,75,42
6,paraclone3,1344,53,58,1635560027_677433.png,1635560027_677433_gfp.png,1635560027_677433_ph.png,1270,1140,1323,1198,1686,6453,1739,6511,416,5313,1760,6657,2,76,42
6,meroclone3,1344,91,79,1635560028_9525492.png,1635560028_9525492_gfp.png,1635560028_9525492_ph.png,48,504,139,583,679,6104,770,6183,631,5600,1975,6944,2,77,43
6,paraclone3,1344,53,58,1635560028_9525492.png,1635560028_9525492_gfp.png,1635560028_9525492_ph.png,1055,853,1108,911,1686,6453,1739,6511,631,5600,1975,6944,2,78,43
6,meroclone3,1344,91,79,1635560030_2327838.png,1635560030_2327838_gfp.png,1635560030_2327838_ph.png,376,1180,467,1259,679,6104,770,6183,303,4924,1647,6268,2,79,44
6,meroclone3,1344,91,79,1635560031_480257.png,1635560031_480257_gfp.png,1635560031_480257_ph.png,146,1097,237,1176,679,6104,770,6183,533,5007,1877,6351,2,80,45
6,meroclone3,1344,91,79,1635560032_813631.png,1635560032_813631_gfp.png,1635560032_813631_ph.png,679,1115,770,1194,679,6104,770,6183,0,4989,1344,6333,2,81,46
6,meroclone3,1344,91,79,1635560034_114971.png,1635560034_114971_gfp.png,1635560034_114971_ph.png,66,1195,157,1274,679,6104,770,6183,613,4909,1957,6253,2,82,47
6,meroclone3,1344,91,79,1635560035_4283671.png,1635560035_4283671_gfp.png,1635560035_4283671_ph.png,679,950,770,1029,679,6104,770,6183,0,5154,1344,6498,2,83,48
6,meroclone3,1344,91,79,1635560036_6812181.png,1635560036_6812181_gfp.png,1635560036_6812181_ph.png,438,893,529,972,679,6104,770,6183,241,5211,1585,6555,2,84,49
6,meroclone3,1344,91,79,1635560038_003208.png,1635560038_003208_gfp.png,1635560038_003208_ph.png,271,591,362,670,679,6104,770,6183,408,5513,1752,6857,2,85,50
6,paraclone3,1344,53,58,1635560038_003208.png,1635560038_003208_gfp.png,1635560038_003208_ph.png,1278,940,1331,998,1686,6453,1739,6511,408,5513,1752,6857,2,86,50
6,paraclone3,1344,53,58,1635560039_333581.png,1635560039_333581_gfp.png,1635560039_333581_ph.png,349,825,402,883,1686,6453,1739,6511,1337,5628,2681,6972,2,87,51
6,paraclone3,1344,53,58,1635560040_556572.png,1635560040_556572_gfp.png,1635560040_556572_ph.png,267,1222,320,1280,1686,6453,1739,6511,1419,5231,2763,6575,2,88,52
6,paraclone3,1344,53,58,1635560041_906881.png,1635560041_906881_gfp.png,1635560041_906881_ph.png,890,988,943,1046,1686,6453,1739,6511,796,5465,2140,6809,2,89,53
6,paraclone3,1344,53,58,1635560043_1051562.png,1635560043_1051562_gfp.png,1635560043_1051562_ph.png,698,925,751,983,1686,6453,1739,6511,988,5528,2332,6872,2,90,54
6,paraclone3,1344,53,58,1635560044_319156.png,1635560044_319156_gfp.png,1635560044_319156_ph.png,280,1177,333,1235,1686,6453,1739,6511,1406,5276,2750,6620,2,91,55
6,meroclone3,1344,91,79,1635560045_54334.png,1635560045_54334_gfp.png,1635560045_54334_ph.png,194,786,285,865,679,6104,770,6183,485,5318,1829,6662,2,92,56
6,paraclone3,1344,53,58,1635560045_54334.png,1635560045_54334_gfp.png,1635560045_54334_ph.png,1201,1135,1254,1193,1686,6453,1739,6511,485,5318,1829,6662,2,93,56
6,paraclone3,1344,53,58,1635560046_7427058.png,1635560046_7427058_gfp.png,1635560046_7427058_ph.png,908,804,961,862,1686,6453,1739,6511,778,5649,2122,6993,2,94,57
6,meroclone3,1344,91,79,1635560047_922333.png,1635560047_922333_gfp.png,1635560047_922333_ph.png,64,692,155,771,679,6104,770,6183,615,5412,1959,6756,2,95,58
6,paraclone3,1344,53,58,1635560047_922333.png,1635560047_922333_gfp.png,1635560047_922333_ph.png,1071,1041,1124,1099,1686,6453,1739,6511,615,5412,1959,6756,2,96,58
6,paraclone3,1344,53,58,1635560049_251633.png,1635560049_251633_gfp.png,1635560049_251633_ph.png,245,995,298,1053,1686,6453,1739,6511,1441,5458,2785,6802,2,97,59
6,paraclone4,1344,44,55,1635560050_513776.png,1635560050_513776_gfp.png,1635560050_513776_ph.png,810,86,854,141,810,1339,854,1394,0,1253,1344,2597,2,98,60
6,paraclone4,1344,44,55,1635560051_7088509.png,1635560051_7088509_gfp.png,1635560051_7088509_ph.png,136,212,180,267,810,1339,854,1394,674,1127,2018,2471,2,99,61
6,holoclone4,1344,186,213,1635560051_7088509.png,1635560051_7088509_gfp.png,1635560051_7088509_ph.png,1052,208,1238,421,1726,1335,1912,1548,674,1127,2018,2471,2,100,61
6,paraclone12,1344,73,71,1635560051_7088509.png,1635560051_7088509_gfp.png,1635560051_7088509_ph.png,602,538,675,609,1276,1665,1349,1736,674,1127,2018,2471,2,101,61
6,paraclone4,1344,44,55,1635560052_918886.png,1635560052_918886_gfp.png,1635560052_918886_ph.png,810,722,854,777,810,1339,854,1394,0,617,1344,1961,2,102,62
6,paraclone4,1344,44,55,1635560054_107611.png,1635560054_107611_gfp.png,1635560054_107611_ph.png,810,825,854,880,810,1339,854,1394,0,514,1344,1858,2,103,63
6,paraclone4,1344,44,55,1635560055_297729.png,1635560055_297729_gfp.png,1635560055_297729_ph.png,638,145,682,200,810,1339,854,1394,172,1194,1516,2538,2,104,64
6,paraclone12,1344,73,71,1635560055_297729.png,1635560055_297729_gfp.png,1635560055_297729_ph.png,1104,471,1177,542,1276,1665,1349,1736,172,1194,1516,2538,2,105,64
6,paraclone4,1344,44,55,1635560056_493227.png,1635560056_493227_gfp.png,1635560056_493227_ph.png,324,149,368,204,810,1339,854,1394,486,1190,1830,2534,2,106,65
6,paraclone12,1344,73,71,1635560056_493227.png,1635560056_493227_gfp.png,1635560056_493227_ph.png,790,475,863,546,1276,1665,1349,1736,486,1190,1830,2534,2,107,65
6,paraclone4,1344,44,55,1635560057_7005079.png,1635560057_7005079_gfp.png,1635560057_7005079_ph.png,214,711,258,766,810,1339,854,1394,596,628,1940,1972,2,108,66
6,holoclone4,1344,186,213,1635560057_7005079.png,1635560057_7005079_gfp.png,1635560057_7005079_ph.png,1130,707,1316,920,1726,1335,1912,1548,596,628,1940,1972,2,109,66
6,paraclone12,1344,73,71,1635560057_7005079.png,1635560057_7005079_gfp.png,1635560057_7005079_ph.png,680,1037,753,1108,1276,1665,1349,1736,596,628,1940,1972,2,110,66
6,paraclone4,1344,44,55,1635560058_8852942.png,1635560058_8852942_gfp.png,1635560058_8852942_ph.png,272,600,316,655,810,1339,854,1394,538,739,1882,2083,2,111,67
6,paraclone12,1344,73,71,1635560058_8852942.png,1635560058_8852942_gfp.png,1635560058_8852942_ph.png,738,926,811,997,1276,1665,1349,1736,538,739,1882,2083,2,112,67
6,paraclone4,1344,44,55,1635560060_0727942.png,1635560060_0727942_gfp.png,1635560060_0727942_ph.png,116,1184,160,1239,810,1339,854,1394,694,155,2038,1499,2,113,68
6,paraclone4,1344,44,55,1635560061_2649221.png,1635560061_2649221_gfp.png,1635560061_2649221_ph.png,810,415,854,470,810,1339,854,1394,0,924,1344,2268,2,114,69
6,holoclone1,1344,292,286,1635560062_462705.png,1635560062_462705_gfp.png,1635560062_462705_ph.png,566,826,858,1112,855,3919,1147,4205,289,3093,1633,4437,2,115,70
6,paraclone26,1344,61,69,1635560062_462705.png,1635560062_462705_gfp.png,1635560062_462705_ph.png,971,494,1032,563,1260,3587,1321,3656,289,3093,1633,4437,2,116,70
6,holoclone1,1344,292,286,1635560063_669248.png,1635560063_669248_gfp.png,1635560063_669248_ph.png,57,952,349,1238,855,3919,1147,4205,798,2967,2142,4311,2,117,71
6,paraclone26,1344,61,69,1635560063_669248.png,1635560063_669248_gfp.png,1635560063_669248_ph.png,462,620,523,689,1260,3587,1321,3656,798,2967,2142,4311,2,118,71
6,holoclone1,1344,292,286,1635560064_872341.png,1635560064_872341_gfp.png,1635560064_872341_ph.png,855,547,1147,833,855,3919,1147,4205,0,3372,1344,4716,2,119,72
6,paraclone26,1344,61,69,1635560064_872341.png,1635560064_872341_gfp.png,1635560064_872341_ph.png,1260,215,1321,284,1260,3587,1321,3656,0,3372,1344,4716,2,120,72
6,holoclone1,1344,292,286,1635560066_068961.png,1635560066_068961_gfp.png,1635560066_068961_ph.png,855,245,1147,531,855,3919,1147,4205,0,3674,1344,5018,2,121,73
6,holoclone1,1344,292,286,1635560067_271952.png,1635560067_271952_gfp.png,1635560067_271952_ph.png,466,701,758,987,855,3919,1147,4205,389,3218,1733,4562,2,122,74
6,paraclone26,1344,61,69,1635560067_271952.png,1635560067_271952_gfp.png,1635560067_271952_ph.png,871,369,932,438,1260,3587,1321,3656,389,3218,1733,4562,2,123,74
6,holoclone1,1344,292,286,1635560068_500284.png,1635560068_500284_gfp.png,1635560068_500284_ph.png,367,490,659,776,855,3919,1147,4205,488,3429,1832,4773,2,124,75
6,paraclone26,1344,61,69,1635560068_500284.png,1635560068_500284_gfp.png,1635560068_500284_ph.png,772,158,833,227,1260,3587,1321,3656,488,3429,1832,4773,2,125,75
6,holoclone1,1344,292,286,1635560069_7537978.png,1635560069_7537978_gfp.png,1635560069_7537978_ph.png,688,839,980,1125,855,3919,1147,4205,167,3080,1511,4424,2,126,76
6,paraclone26,1344,61,69,1635560069_7537978.png,1635560069_7537978_gfp.png,1635560069_7537978_ph.png,1093,507,1154,576,1260,3587,1321,3656,167,3080,1511,4424,2,127,76
6,holoclone1,1344,292,286,1635560070_961613.png,1635560070_961613_gfp.png,1635560070_961613_ph.png,42,982,334,1268,855,3919,1147,4205,813,2937,2157,4281,2,128,77
6,paraclone26,1344,61,69,1635560070_961613.png,1635560070_961613_gfp.png,1635560070_961613_ph.png,447,650,508,719,1260,3587,1321,3656,813,2937,2157,4281,2,129,77
6,holoclone1,1344,292,286,1635560072_187232.png,1635560072_187232_gfp.png,1635560072_187232_ph.png,812,968,1104,1254,855,3919,1147,4205,43,2951,1387,4295,2,130,78
6,paraclone26,1344,61,69,1635560072_187232.png,1635560072_187232_gfp.png,1635560072_187232_ph.png,1217,636,1278,705,1260,3587,1321,3656,43,2951,1387,4295,2,131,78
6,holoclone1,1344,292,286,1635560073_4324381.png,1635560073_4324381_gfp.png,1635560073_4324381_ph.png,424,100,716,386,855,3919,1147,4205,431,3819,1775,5163,2,132,79
6,holoclone2,1344,287,323,1635560074_6452138.png,1635560074_6452138_gfp.png,1635560074_6452138_ph.png,263,73,550,396,5911,539,6198,862,5648,466,6992,1810,2,133,80
6,paraclone22,1344,63,87,1635560074_6452138.png,1635560074_6452138_gfp.png,1635560074_6452138_ph.png,169,833,232,920,5817,1299,5880,1386,5648,466,6992,1810,2,134,80
6,holoclone2,1344,287,323,1635560075_986517.png,1635560075_986517_gfp.png,1635560075_986517_ph.png,1000,151,1287,474,5911,539,6198,862,4911,388,6255,1732,2,135,81
6,paraclone21,1344,35,45,1635560075_986517.png,1635560075_986517_gfp.png,1635560075_986517_ph.png,672,377,707,422,5583,765,5618,810,4911,388,6255,1732,2,136,81
6,paraclone22,1344,63,87,1635560075_986517.png,1635560075_986517_gfp.png,1635560075_986517_ph.png,906,911,969,998,5817,1299,5880,1386,4911,388,6255,1732,2,137,81
6,holoclone2,1344,287,323,1635560077_259087.png,1635560077_259087_gfp.png,1635560077_259087_ph.png,749,110,1036,433,5911,539,6198,862,5162,429,6506,1773,2,138,82
6,paraclone21,1344,35,45,1635560077_259087.png,1635560077_259087_gfp.png,1635560077_259087_ph.png,421,336,456,381,5583,765,5618,810,5162,429,6506,1773,2,139,82
6,paraclone22,1344,63,87,1635560077_259087.png,1635560077_259087_gfp.png,1635560077_259087_ph.png,655,870,718,957,5817,1299,5880,1386,5162,429,6506,1773,2,140,82
6,holoclone2,1344,287,323,1635560078_620598.png,1635560078_620598_gfp.png,1635560078_620598_ph.png,30,539,317,862,5911,539,6198,862,5881,0,7225,1344,2,141,83
6,holoclone2,1344,287,323,1635560079_983073.png,1635560079_983073_gfp.png,1635560079_983073_ph.png,54,539,341,862,5911,539,6198,862,5857,0,7201,1344,2,142,84
6,holoclone2,1344,287,323,1635560081_300946.png,1635560081_300946_gfp.png,1635560081_300946_ph.png,241,492,528,815,5911,539,6198,862,5670,47,7014,1391,2,143,85
6,paraclone22,1344,63,87,1635560081_300946.png,1635560081_300946_gfp.png,1635560081_300946_ph.png,147,1252,210,1339,5817,1299,5880,1386,5670,47,7014,1391,2,144,85
6,holoclone2,1344,287,323,1635560082_7396128.png,1635560082_7396128_gfp.png,1635560082_7396128_ph.png,393,539,680,862,5911,539,6198,862,5518,0,6862,1344,2,145,86
